#This txt sheet contains the sum of the FC values for every run that is present in the PIDclary folder
#The files in the PIDclary folder are the output of the PID analysis which checked to see if there was 
#a corresponding fcrationom file to the root22 file. 
#Brandon Clary
#Output of FCAdd.py
#5-24-2017
59991 146691450 146841126
59992 152083763 152099720
59993 141173298 141361427
59995 55943906 55989198
59996 114536663 114520903
59997 112116935 112244917
59998 140701416 140520410
60000 100370558 100261606
60001 90469896 90402588
60002 22349933 22312093
60003 140230539 140178346
60004 135003749 134677646
60005 118611779 118473221
60008 110827567 111138648
60009 155693902 156015194
60010 153923278 154396848
60011 158779381 159037838
60013 156568862 156787151
60014 149881316 150186544
60015 126754537 127029469
60016 45118272 45268318
60018 155723259 155775955
60019 171929491 172446090
60020 52383640 52438276
60021 58264057 58321755
60023 40326233 40361411
60024 77281059 77238744
60025 27433137 27524676
60026 138540249 138670096
60028 51389681 51389701
60029 158201986 158116674
60030 125046564 125042876
60031 77341753 77299263
60032 108477927 108629561
60033 140567056 140603584
60034 143541041 143286712
60035 50016544 49870004
60036 5842377 5825130
60038 150762843 150838329
60039 156653206 156694472
60041 128715534 128606751
60042 157939183 157743182
60043 152115102 152115434
60044 158258908 158214454
60046 24544407 24572702
60047 162205478 162240658
60048 150144783 149994299
60049 149792782 149606721
60050 162555930 162523723
60052 164010803 163892822
60053 151767833 151702073
60054 148391670 148393822
60055 129882674 129792139
60057 145492941 145379195
60058 143998958 144002710
60059 162002108 162361034
60060 116686922 116672467
60062 164488920 164288105
60063 158446608 158450247
60064 164448821 164540950
60065 156357617 156225625
60067 24617099 24583339
60069 166569080 166397470
60070 174573614 174388709
60072 117496492 117394064
60073 156415719 156452703
60074 168686919 168735354
60075 162174476 162201684
60076 166776463 166684696
60078 158777675 158744951
60079 158668272 158665862
60080 153102751 153204931
60081 100196251 100271229
60084 54331315 54416198
60085 169597786 169661116
60086 94660420 94792925
60087 176043355 176136118
60089 157249298 157561666
60090 119304071 119438491
60091 88217155 88268190
60092 65973098 65913060
60093 153665548 153797061
60094 79921571 79991584
60097 83037843 83130772
60098 142973636 143330782
60099 144873563 145068656
60100 149571941 149746327
60101 153785705 154246603
60103 152157156 152394696
60104 149829518 150185448
60105 146520291 146471161
60106 167766701 168117244
60109 1455650 1453582
60110 13722846 13706740
60111 14860186 14838911
60112 116893010 116621361
60113 152270532 152253741
60115 63698732 63625652
60116 107368054 107049249
60117 156975920 156630661
60118 153044365 152606397
60119 114677780 114527848
60124 135871546 135636224
60125 126441622 126573961
60126 17077566 17093376
60127 122282895 122284732
60129 66397557 66439277
60130 135013602 135197655
60131 70443206 70513990
60132 136098738 135959178
60133 102666973 102631533
60134 91956519 91916100
60135 156538378 156687006
60136 162374993 162591141
60137 60377718 60405660
60138 87256770 87311786
60141 180642255 180576974
60142 157639834 157991431
60143 158607077 158844504
60144 47455634 47656345
60146 178754505 178956196
60147 55403252 55428434
60153 162221140 162617501
60154 137448825 137696416
60155 143393224 143762232
60156 84179272 84407950
60158 185172957 185733731
60159 185391180 186241578
60160 158378097 158783950
60161 161740054 161494840
60163 147483400 146935876
60164 26398359 26416393
60165 25095224 25012492
60166 28930067 28869018
60168 29449107 29398778
60169 28288297 28280989
60170 26548478 26493739
60171 29750480 29688562
60173 18875748 18779709
60174 30336351 30234054
60175 30893515 30898703
60176 28987720 29050842
60177 20723723 20692209
60179 13409389 13401419
60180 15457243 15427363
60181 15769080 15807100
60182 13809922 13788572
60184 12348593 12313598
60227 2014961 2011746
60228 2158952 2160110
60231 2675124 2669530
60232 0 0
60233 2549229 2548522
60235 2436644 2436603
60236 1968014 1968314
60237 2775353 2776671
60241 8228785 8230241
60242 5341681 5341884
60247 9077428 9073946
60248 140491637 140539334
60250 22702397 22675240
60251 1666076 1667501
60253 3211372 3210202
60256 1973401 1973637
60265 225028 225244
60266 187500 188109
60269 955615 952223
60270 294396 294654
60271 424440 426502
60273 420740 420089
60274 884062 884862
60275 817233 816592
60276 1187209 1185206
60278 838638 839905
60279 1862209 1862321
60280 409895 410385
60281 929517 931148
60283 922876 923492
60284 441738 442052
60295 2402368 2406842
60297 36516830 36531421
